numero,seccion
0789,011
0789A,011
0789B,011
0789C,011
0789D,011
0789E,011
0789F,011
0790,011
0790A,011
0792,011
0792A,011
0792B,011
0792C,011
0792D,011
0117,010
0117A,010
0117B,010
0118,010
0120,010
0072,007
0073,007
0074,007
0075,007
0076,007
0077,007
0078,007
0079,007
0080,007
0083,007
0084,007
0085,007
0086,007
0087,007
0088,007
0089,007
0090,007
0091,007
0092,007
0093,007
0105,009
0106,009
0107,009
0108,009
0109,009
0110,009
0111,009
0113,009
0114,009
0023,004
0024,004
0025,004
0026,004
0027,004
0030,004
0031,004
0010,002
0011,002
0012,002
0013,002
0014,002
0015,002
0032,004
0033,004
0034,004
0037,004
0038,004
0039,004
0040,004
0001,001
0002,001
0003,001
0004,001
0005,001
0006,001
0007,001
0179,032
0180,032
0181,032
0182,032
0183,032
0211,031
0212,031
0213,031
0214,031
0215,031
0216,031
0217,031
0218,031
0219,031
0220,031
0201,030
0202,030
0203,030
0204,030
0205,030
0206,030
0208,030
0209,030
0209A,030
0221,031
0222,031
0223,031
0224,031
0225,031
0226,031
0017,003
0018,003
0018A,003
0019,003
0020,003
0020A,003
0021,003
0021A,003
0022,003
0022A,003
0022B,003
0207L,135
0668,134
0668A,134
0668B,134
0098,008
0099,008
0100,008
0101,008
0102,008
0103,008
0103A,008
0104,008
0046,005
0048,005
0049,005
0050,005
0051,005
0052,005
0053,005
0054,005
0055,005
0056,005
0060,006
0061,006
0062,006
0062A,006
0062B,006
0063,006
0064,006
0065,006
0066,006
0057,005
0067,006
0068,006
0069,006
0398,129
0398A,129
0398B,129
0189,029
0190,029
0191,029
0192,029
0193,029
0194,029
0195,029
0196,029
0196A,029
0197,029
0198,029
0252,028
0253,028
0254,028
0255,028
0255A,028
0256,028
0256A,028
0257,028
0258,028
0258A,028
0258B,028
0258C,028
0611,131
0612,131
0613,131
0613A,131
0613B,131
0765,088
0765A,088
0766,088
0666,133
0666A,133
0667,133
0399,130
0399A,130
0399B,130
0399C,130
